"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","MANUFACTURER","MANUFACTURER PART NUMBER 1","MOUNT TYPE","MOUNTING TYPE","N OF POSITIONS","PARTNUMBER","PITCH","PUBLISHED","PUBLISHER","ROLL SPACING","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"D09S24A4GV00LF","DB9 VERT PTH","","D09S24A4GV00LF","","","","Amphenol FCI","","PTH","","9","","-","","","","Digi-Key","Mouser","Newark","Farnell","","","609-1485-ND","649-D09S24A4GV00LF","62K4177","1103913","","","D09S24A4GV00LF","*","CN?","CONN D-SUB RECPT STR 9POS PTH"
"DTM13-12PA-R008","DEUTSCH  DTM13-12PA-R008  CONNECTOR","","DTM13-12PA-R008","","","","DEUTSCH","","PTH","","12","","4.2mm x 6.35mm","","","","Mouser","Newark","Farnell","","","","571-DTM13-12PA-R008","26W9681","2138245","","","","DTM13-12PA-R008","*","CN?","DEUTSCH  DTM13-12PA-R008  CONNECTOR, RECTANGULAR POWER, HEADER, 12POS, PCB"
"FTR-110-03-G-D-06","HEADER SMD 2X10 1.27mm 180 GRAUS 2.54mm row spacing","","FTR-110-03-G-D-06","","","","Samtec Inc.","","SMD","","20","","1.27mm","","","","Digikey","Newark","Arrow","","","","SAM8790-ND","15P8450","FTR-110-03-G-D-06","","","","FTR-110-03-G-D-06","*","CN?","CONN HEADER 20POS 1.27MM DUL SMD"
"GRPB061VWCN-RC","HEADER 6 1.27mm 90 GRAUS","","GRPB061VWCN-RC","","","","Sullins Connector Solutions","","PTH","","6","","1.27mm","","","","Digi-Key","","","","","","S9016E-06-ND","","","","","","Header 6 1.27mm 90°","*","CN?","CONN HEADER .050" 6POS PCB R/A"
"JXD0-0001NL","RJ45 1000 BASE-T MAG JXD0-0001NL","","JXD0-0001NL","","","","Pulse Electronics Network","","SMD","","14","","2.54mm","","","","Arrow","Digi-Key","Avnet","","","","pJiFfbCJsD2NDg85R90S1SWRbwx-wZUWm4pMcdKNDPU","553-3264-ND","JXD0-0001NL","","","","JXD0-0001NL","*","CN?","CONN MAGJACK 1PORT 1000BASE-T"
"L829-1J1T-43","RJ45 1000 BASE-T MAG L829-1J1T-43","","L829-1J1T-43","","","","Bel Fuse Inc.","","SMD","","17","","2.03mm","","","","Newark","Arrow","Farnell","Digi-Key","","","03AC2837","3Ota69NMpKkOX1aL0nZZj7kdIy59kYmg-eBDxc6c53E","2675997","380-1110-ND","","","L829-1J1T-43","*","CN?","CONN MAGJACK 1PORT 1000 BASE-T"
"LD09S33E4GV00LF","DB9 HOR PTH","","LD09S33E4GV00LF","","","","Amphenol FCI","","PTH","","9","","-","","","","Digi-Key","Newark","","","","","609-5192-ND","79X7591","","","","","LD09S33E4GV00LF","*","CN?","CONN D-SUB RECPT STR 9POS PTH"
"M20-9990246","PIN BAR 2 2.54mm 180 GRAUS","","M20-9990246","","","","Harwin Inc.","","PTH","","2","","2.54mm","","","","Digi-Key","Mouser","Newark","Farnell","","","952-2262-ND","855-M20-9990246","56K0146","7991916","","","M20-9990246","*","CN?","SIL VERTICAL PC TAIL PIN HEADER"
"MCD-10","HEADER 2X10 2.54mm 180 GRAUS 8.5mm length","","MCD-10","","","","Metaltex","","PTH","","20","","2.54mm","","","","","","","","","","","","","","","","MCD-10","*","CN?","HEADER 2x10 8.5MM LENGTH 2.54MM PITCH"
"OSTTC022162","TBLOCK 2x5.08","","OSTTC022162","","","","On Shore Technology Inc.","","PTH","","2","","5.08mm","","","","Digi-Key","Mouser","Newark","Farnell","","","ED2609-ND","Anonymous Daily Limit Reached","18M9779","1386121","","","OSTTC022162","*","CN?","TERM BLOCK 5.08MM VERT 2POS PCB"
