"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CATEGORY","CLASS","COMMENT","DIELECTRIC","DIELETRIC","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","TOLERANCE","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"CL10B473KB8NNNC","C0603_MD","","Ceramic","","CL10B473KB8NNNC","X7R","","Samsung Electro-Mechanics","SMD","Digi-Key","","","","","","1276-1063-1-ND","","","","","","0.047uF","50V","*","C?","CAP CER 0.047UF 50V X7R 0603"
"CL10B474KO8NNNC","C0603_MD","","Ceramic","","CL10B474KO8NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","Arrow","","","","","1276-1062-1-ND","vyANmGZMAsXsb9ucUsdgAYI9piIQPQ_vO_TcKVAcvH4ZVywxIBNyoAQstvnyfZZ0","","","","","0.47uF","16V","*","C?","CAP CER 0.47UF 16V X7R 0603"
"CL10B823KB8NNNC","C0603_MD","","Ceramic","","CL10B823KB8NNNC","X7R","","Samsung Electro-Mechanics America, Inc.","SMD","Avnet","Digi-Key","","","","","CL10B823KB8NNNC","1276-2122-1-ND","","","","","0.082uF","50V","*","C?","CAP CER 0.082UF 50V X7R 0603"
"CL10C020BB8NNNC","C0603_MD","","Ceramic","","CL10C020BB8NNNC","NP0","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-1815-1-ND","","","","","","2pF","50V","*","C?","CAP CER 2PF 50V NP0 0603"
"CL10C060CB8NCNC","C0603_MD","","Ceramic","","CL10C060CB8NCNC","C0G/NP0","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","Avnet","","","","","1276-2132-1-ND","CL10C060CB8NCNC","","","","","6pF","50V","*","C?","CAP CER 6PF 50V C0G/NP0 0603"
"CL10C0R5CB8NNNC","C0603_MD","","Ceramic","","CL10C0R5CB8NNNC","NP0","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-2147-1-ND","","","","","","0.5pF","50V","*","C?","CAP CER 0.5PF 50V NP0 0603"
"CL10C120JB8NNNC","C0603_MD","","Ceramic","","CL10C120JB8NNNC","NP0","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-1254-1-ND","","","","","","12pF","50V","*","C?","CAP CER 12PF 50V 5% NP0 0603"
"CL10C151JB8NNNC","C0603_MD","","Ceramic","","CL10C151JB8NNNC","C0G","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","","","","","","1276-1280-1-ND","","","","","","150pF","50V","*","C?","CAP CER 150PF 50V C0G/NP0 0603"
"CL10C180JB8NNNC","C0603_MD","","Ceramic","","CL10C180JB8NNNC","C0G","","Samsung Electro-Mechanics America, Inc.","SMD","Digikey","Arrow","","","","","1276-1089-1-ND","CL10C180JB8NNNC**MULT1","","","","","18pF","50V","*","C?","CAP CER 18PF 50V C0G/NP0 0603"
"CL10C181JB8NNNC","C0603_MD","","Ceramic","","CL10C181JB8NNNC","C0G/NP0","","Samsung Electro-Mechanics America, Inc.","SMD","Digi-Key","Avnet","","","","","1276-1255-1-ND","CL10C181JB8NNNC","","","","","180pF","50V","*","C?","CAP CER 180PF 50V C0G/NP0 0603"
"CL10C270JB8NNNC","C0603_MD","","Ceramic","","CL10C270JB8NNNC","NP0","","Samsung Electro-Mechanics America, Inc","SMD","Newark","Farnell","Digi-Key","","","","90R7646","2280864","1276-1086-1-ND","","","","27pF","50V","*","C?","CAP CER 27PF 50V 5% NP0 0603"
"CL10C300JB8NNNC","C0603_MD","","Ceramic","","CL10C300JB8NNNC","C0G","","Samsung Electro-Mechanics America, Inc.","SMD","Avnet","Arrow","Digi-Key","","","","CL10C300JB8NNNC","CL10C300JB8NNNC**MULT1","1276-1021-1-ND","","","","30pF","50V","*","C?","CAP CER 30PF 50V C0G/NP0 0603"
"CL10C390JB8NNNC","C0603_MD","","Ceramic","","CL10C390JB8NNNC","NP0","","Samsung Electro-Mechanics America, Inc","SMD","Digi-Key","","","","","","1276-1087-1-ND","","","","","","39pF","50V","*","C?","CAP CER 39PF 50V 5% NP0 0603"
